연,월,일,시간,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%),주야구분,요일,위도,경도,사망자수,부상자수,중상자수,경상자수,사고유형대분류,사고유형중분류,사고유형소분류,주소,지역
2012,1,28,13,1.0,22.2,1.7,0.0,18.9,1,7,37.53507329,127.09448621,1,1,0,0,1,11,01,서울특별시 광진구 구의동,구의동
2012,2,3,5,-12.9,78.6,1.3,0.0,66.7,2,6,37.54859601,127.110459,1,1,0,0,3,31,32,서울특별시 광진구 광장동,광장동
2012,2,9,15,0.1,322.1,3.0,0.0,45.7,1,5,37.52836496,127.07764445,1,2,1,0,2,23,Z2,서울특별시 광진구 자양동,자양동
2012,2,13,11,4.0,122.8,1.0,0.0,29.5,1,2,37.55960054,127.07365255,1,1,0,0,2,24,25,서울특별시 광진구 중곡동,중곡동
2012,4,18,18,21.0,301.6,1.7,0.0,29.5,2,4,37.54800993,127.07063369,1,1,0,0,1,15,05,서울특별시 광진구 군자동,군자동
2012,5,2,9,22.8,66.8,2.2,0.0,56.1,1,4,37.53728415,127.08663806,1,1,0,0,1,11,01,서울특별시 광진구 구의동,구의동
2012,6,14,3,20.3,50.9,2.3,0.0,73.2,2,5,37.56785324,127.07865473,1,3,2,0,1,11,01,서울특별시 광진구 중곡동,중곡동
2012,7,24,20,29.0,309.5,1.8,0.0,77.4,2,3,37.54036902,127.08727757,1,1,0,0,1,15,05,서울특별시 광진구 구의동,구의동
2012,7,30,9,29.1,250.9,2.2,0.0,78.4,1,2,37.557404,127.07667334,1,1,0,0,1,12,02,서울특별시 광진구 군자동,군자동
2012,8,17,21,28.0,157.1,0.6,0.0,84.5,2,6,37.5498829,127.09093159,1,1,0,0,2,24,25,서울특별시 광진구 구의동,구의동
2012,8,25,0,22.5,46.5,2.0,1.0,94.8,2,7,37.53371524,127.07408291,1,1,0,0,2,23,Z2,서울특별시 광진구 자양동,자양동
2012,9,4,21,21.0,114.8,1.1,5.5,97.0,2,3,37.55605357,127.08243589,2,12,1,8,2,24,25,서울특별시 광진구 중곡동,중곡동
2012,9,22,2,17.7,129.0,0.5,0.0,89.0,2,7,37.55394552,127.07768127,1,1,0,0,1,11,01,서울특별시 광진구 군자동,군자동
